instance	g	solution	gap	time	status
dc112	2	3993.0	0.00	2.2	OPTIMAL
dc112	5	4242.0	0.00	18.2	OPTIMAL
dc112	8	6501.0	0.00	93.2	OPTIMAL
dc126	2	6204.0	0.00	1.2	OPTIMAL
dc126	5	12595.0	0.00	35.7	OPTIMAL
dc126	8	50597.0	0.00	235.2	OPTIMAL
dc134	2	3743.0	0.00	12.8	OPTIMAL
dc134	5	3743.0	0.00	10.8	OPTIMAL
dc134	8	3807.0	0.00	23.0	OPTIMAL
dc176	2	5495.0	0.00	137.8	OPTIMAL
dc176	5	5495.0	0.00	111.2	OPTIMAL
dc176	8	5625.0	0.00	70.5	OPTIMAL
dc188	2	4562.0	0.00	50.2	OPTIMAL
dc188	5	4562.0	0.00	36.1	OPTIMAL
dc188	8	4608.0	0.00	53.1	OPTIMAL
ft53	2	2990.0	0.00	1.8	OPTIMAL
ft53	5	3667.0	0.00	3.3	OPTIMAL
ft53	8	4936.0	0.00	3.2	OPTIMAL
ft70	2	8161.0	0.00	2.4	OPTIMAL
ft70	5	15699.0	0.00	5.8	OPTIMAL
ft70	8	25195.0	0.00	4.9	OPTIMAL
ftv100	2	1669.0	0.00	8.1	OPTIMAL
ftv100	5	1669.0	0.00	7.9	OPTIMAL
ftv100	8	1669.0	0.00	6.7	OPTIMAL
ftv110	2	1892.0	0.00	16.0	OPTIMAL
ftv110	5	1892.0	0.00	13.2	OPTIMAL
ftv110	8	1892.0	0.00	13.3	OPTIMAL
ftv120	2	1950.0	0.00	9.9	OPTIMAL
ftv120	5	1950.0	0.00	9.9	OPTIMAL
ftv120	8	1950.0	0.00	8.9	OPTIMAL
ftv130	2	2160.0	0.00	16.9	OPTIMAL
ftv130	5	2160.0	0.00	13.3	OPTIMAL
ftv130	8	2160.0	0.00	15.9	OPTIMAL
ftv140	2	2255.0	0.00	26.4	OPTIMAL
ftv140	5	2255.0	0.00	28.0	OPTIMAL
ftv140	8	2255.0	0.00	16.1	OPTIMAL
ftv150	2	2543.0	0.00	27.4	OPTIMAL
ftv150	5	2543.0	0.00	24.0	OPTIMAL
ftv150	8	2543.0	0.00	27.5	OPTIMAL
ftv160	2	2528.0	0.00	35.4	OPTIMAL
ftv160	5	2528.0	0.00	29.5	OPTIMAL
ftv160	8	2528.0	0.00	38.9	OPTIMAL
ftv170	2	2660.0	0.00	22.8	OPTIMAL
ftv170	5	2660.0	0.00	25.0	OPTIMAL
ftv170	8	2660.0	0.00	26.9	OPTIMAL
ftv33	2	1083.0	0.00	0.2	OPTIMAL
ftv33	5	1083.0	0.00	0.2	OPTIMAL
ftv33	8	1148.0	0.00	0.3	OPTIMAL
ftv35	2	1161.0	0.00	0.3	OPTIMAL
ftv35	5	1161.0	0.00	0.2	OPTIMAL
ftv35	8	1189.0	0.00	0.6	OPTIMAL
ftv38	2	1185.0	0.00	0.5	OPTIMAL
ftv38	5	1185.0	0.00	0.5	OPTIMAL
ftv38	8	1219.0	0.00	0.6	OPTIMAL
ftv44	2	1269.0	0.00	0.8	OPTIMAL
ftv44	5	1269.0	0.00	0.9	OPTIMAL
ftv44	8	1312.0	0.00	1.3	OPTIMAL
ftv47	2	1410.0	0.00	0.8	OPTIMAL
ftv47	5	1410.0	0.00	0.8	OPTIMAL
ftv47	8	1449.0	0.00	1.1	OPTIMAL
ftv55	2	1553.0	0.00	1.7	OPTIMAL
ftv55	5	1553.0	0.00	1.6	OPTIMAL
ftv55	8	1553.0	0.00	2.0	OPTIMAL
ftv64	2	1545.0	0.00	1.4	OPTIMAL
ftv64	5	1545.0	0.00	1.3	OPTIMAL
ftv64	8	1548.0	0.00	2.2	OPTIMAL
ftv70	2	1669.0	0.00	2.6	OPTIMAL
ftv70	5	1669.0	0.00	2.5	OPTIMAL
ftv70	8	1716.0	0.00	5.3	OPTIMAL
ftv80	2	1376.0	0.00	4.0	OPTIMAL
ftv80	5	1376.0	0.00	4.1	OPTIMAL
ftv80	8	1376.0	0.00	4.3	OPTIMAL
ftv90	2	1452.0	0.00	4.5	OPTIMAL
ftv90	5	1452.0	0.00	4.8	OPTIMAL
ftv90	8	1452.0	0.00	4.6	OPTIMAL
kro124	2	9619.0	0.00	21.7	OPTIMAL
kro124	5	16595.0	0.00	23.8	OPTIMAL
kro124	8	25036.0	0.00	24.2	OPTIMAL
p43	2	371.0	0.00	0.9	OPTIMAL
p43	5	371.0	0.00	1.3	OPTIMAL
p43	8	371.0	0.00	1.2	OPTIMAL
rbg323	2	1181.0	0.00	30.0	OPTIMAL
rbg323	5	1181.0	0.00	30.5	OPTIMAL
rbg323	8	1181.0	0.00	46.1	OPTIMAL
rbg358	2	987.0	0.00	33.3	OPTIMAL
rbg358	5	987.0	0.00	30.0	OPTIMAL
rbg358	8	987.0	0.00	32.7	OPTIMAL
rbg403	2	2054.0	0.00	47.3	OPTIMAL
rbg403	5	2054.0	0.00	42.5	OPTIMAL
rbg403	8	2054.0	0.00	45.5	OPTIMAL
rbg443	2	2370.0	0.00	67.7	OPTIMAL
rbg443	5	2370.0	0.00	58.0	OPTIMAL
rbg443	8	2370.0	0.00	62.0	OPTIMAL
ry48p	2	4426.0	0.00	4.5	OPTIMAL
ry48p	5	5960.0	0.00	2.1	OPTIMAL
ry48p	8	9461.0	0.00	4.0	OPTIMAL
stilt100_0	2	2500962.0	0.00	157.7	OPTIMAL
stilt100_0	5	5776645.0	0.00	160.8	OPTIMAL
stilt100_0	8	10123158.0	0.00	136.5	OPTIMAL
stilt100_1	2	2645205.0	0.00	482.1	OPTIMAL
stilt100_1	5	5820711.0	0.00	92.4	OPTIMAL
stilt100_1	8	10066151.0	0.00	92.3	OPTIMAL
stilt100_2	2	2654301.0	0.00	138.9	OPTIMAL
stilt100_2	5	5825292.0	0.00	69.2	OPTIMAL
stilt100_2	8	9619360.0	0.00	12.5	OPTIMAL
stilt100_3	2	3327310.0	0.00	1272.4	OPTIMAL
stilt100_3	5	6395529.0	0.00	428.2	OPTIMAL
stilt100_3	8	9911306.0	0.00	82.4	OPTIMAL
stilt100_4	2	2662325.0	0.00	82.6	OPTIMAL
stilt100_4	5	5872971.0	0.00	27.5	OPTIMAL
stilt100_4	8	10235892.0	0.00	38.4	OPTIMAL
stilt100_5	2	2469070.0	0.00	78.1	OPTIMAL
stilt100_5	5	6361876.0	0.00	2006.1	OPTIMAL
stilt100_5	8	10116440.0	0.00	20.2	OPTIMAL
stilt100_6	2	2722457.0	0.00	504.0	OPTIMAL
stilt100_6	5	5412361.0	0.00	30.9	OPTIMAL
stilt100_6	8	9297847.0	0.00	26.8	OPTIMAL
stilt100_7	2	3088358.0	0.00	3334.5	OPTIMAL
stilt100_7	5	5904767.0	0.00	177.3	OPTIMAL
stilt100_7	8	10386931.0	0.00	191.1	OPTIMAL
stilt100_8	2	2752703.0	0.00	1603.3	OPTIMAL
stilt100_8	5	5649254.0	0.00	45.1	OPTIMAL
stilt100_8	8	9626836.0	0.00	27.4	OPTIMAL
stilt100_9	2	2505203.8	0.00	70.4	OPTIMAL
stilt100_9	5	5933627.0	0.00	2435.6	OPTIMAL
