grupo	instance	num_cities	g	gap_gurobi_percent	gap_UB_percent	mean_time	gurobi_time	faster_than_gurobi
Pequeno porte	ftv70	71	2	0.0000	0.0000	2.6630	2.6	False
Pequeno porte	ftv70	71	5	0.0000	-0.2391	2.7600	2.5	False
Pequeno porte	ftv70	71	8	1.8065	1.8065	7.2040	5.3	False
Pequeno porte	ftv80	81	2	0.0000	0.0000	6.0330	4.0	False
Pequeno porte	ftv80	81	5	0.0000	-0.2899	7.6390	4.1	False
Pequeno porte	ftv80	81	8	1.3808	1.3808	6.3420	4.3	False
Pequeno porte	ftv90	91	2	0.0000	0.0000	11.8520	4.5	False
Pequeno porte	ftv90	91	5	0.6198	0.6198	12.6660	4.8	False
Pequeno porte	ftv90	91	8	1.5152	1.5152	9.9820	4.6	False
Pequeno porte	kro124	100	2	1.2163	-0.9663	0.9460	21.7	True
Pequeno porte	kro124	100	5	4.2603	2.0707	1.3310	23.8	True
Pequeno porte	kro124	100	8	0.3315	-1.9057	4.0910	24.8	True
Pequeno porte	p43	43	2	0.0000	0.0000	1.2520	0.9	False
Pequeno porte	p43	43	5	0.0000	0.0000	1.0440	1.3	True
Pequeno porte	p43	43	8	0.0000	0.0000	0.5610	1.2	True
Pequeno porte	ry48p	48	2	0.0000	-0.0903	0.0890	4.9	True
Pequeno porte	ry48p	48	5	-0.8389	-1.1706	0.2170	2.2	True
Pequeno porte	ry48p	48	8	0.0000	-0.1056	0.4850	4.0	True
Pequeno porte	stilt100_0	100	2	0.0000	-0.4381	2.0030	158.8	True
Pequeno porte	stilt100_0	100	5	1.4991	0.4345	2.9050	161.5	True
Pequeno porte	stilt100_0	100	8	5.1774	3.3685	10.0700	139.0	True
Pequeno porte	stilt100_1	100	2	7.8075	6.7085	1.6760	484.0	True
Pequeno porte	stilt100_1	100	5	4.3307	3.3182	3.1360	92.4	True
Pequeno porte	stilt100_1	100	8	4.4553	2.7476	9.2540	92.3	True
Pequeno porte	stilt100_2	100	2	18.0869	16.8598	1.7390	139.6	True
Pequeno porte	stilt100_2	100	5	4.1955	2.6556	2.2210	69.2	True
Pequeno porte	stilt100_2	100	8	3.4650	1.8056	6.2740	15.6	True
Pequeno porte	stilt100_3	100	2	0.9861	-0.0336	2.9690	1272.4	True
Pequeno porte	stilt100_3	100	5	3.1446	1.8109	4.1100	428.2	True
Pequeno porte	stilt100_3	100	8	1.6665	0.3816	6.8750	82.4	True
Pequeno porte	stilt100_4	100	2	0.0000	-0.3488	1.9550	82.9	True
Pequeno porte	stilt100_4	100	5	1.2261	0.6224	3.1260	27.5	True
Pequeno porte	stilt100_4	100	8	1.9378	0.9885	8.3320	38.6	True
Pequeno porte	stilt100_5	100	2	0.0000	-0.6458	1.9230	78.1	True
Pequeno porte	stilt100_5	100	5	1.1601	-0.6562	3.0550	2011.5	True
Pequeno porte	stilt100_5	100	8	3.0869	1.1846	8.2880	28.9	True
Pequeno porte	stilt100_6	100	2	3.0676	1.9362	2.1570	508.8	True
Pequeno porte	stilt100_6	100	5	3.9068	2.6950	3.4610	32.1	True
Pequeno porte	stilt100_6	100	8	2.2971	1.0336	6.0480	29.6	True
Pequeno porte	stilt100_7	100	2	3.1371	2.8184	2.8480	3374.5	True
Pequeno porte	stilt100_7	100	5	3.4290	2.8940	3.6410	177.3	True
Pequeno porte	stilt100_7	100	8	4.4714	3.8277	11.7520	196.4	True
Pequeno porte	stilt100_8	100	2	0.0000	-0.4777	2.1290	1603.3	True
Pequeno porte	stilt100_8	100	5	0.4366	-0.4494	3.6480	45.1	True
Pequeno porte	stilt100_8	100	8	4.6107	3.4214	7.8230	27.4	True
Pequeno porte	stilt100_9	100	2	4.2237	3.2429	1.7170	78.4	True
Pequeno porte	stilt100_9	100	5	0.8793	-0.3465	2.7860	2435.6	True
Pequeno porte	stilt100_9	100	8	2.3847	0.7922	6.3310	37.7	True
