instance	g	run	solution	time
code198	5	10	842.00	254.99
code198	8	1	842.00	158.44
code198	8	2	842.00	159.08
code198	8	3	842.00	156.73
code198	8	4	842.00	157.86
code198	8	5	842.00	157.77
code198	8	6	842.00	158.45
code198	8	7	842.00	159.96
code198	8	8	842.00	158.22
code198	8	9	842.00	157.92
code198	8	10	842.00	158.95
code253	2	1	6263.00	122.80
code253	2	2	6263.00	122.62
code253	2	3	6263.00	122.53
code253	2	4	6263.00	122.56
code253	2	5	6263.00	122.29
code253	2	6	6263.00	122.96
code253	2	7	6263.00	122.43
code253	2	8	6263.00	123.19
code253	2	9	6263.00	122.96
code253	2	10	6263.00	122.69
code253	5	1	6263.00	93.97
code253	5	2	6263.00	94.36
code253	5	3	6263.00	94.56
code253	5	4	6263.00	93.57
code253	5	5	6263.00	93.81
code253	5	6	6263.00	93.81
code253	5	7	6263.00	94.33
code253	5	8	6263.00	94.00
code253	5	9	6263.00	93.85
code253	5	10	6263.00	93.55
code253	8	1	27764.00	226.20
code253	8	2	27764.00	228.43
code253	8	3	25679.00	226.01
code253	8	4	27764.00	229.26
code253	8	5	25679.00	227.57
code253	8	6	27764.00	229.80
code253	8	7	27764.00	225.46
code253	8	8	27764.00	226.10
code253	8	9	27764.00	228.31
code253	8	10	27764.00	225.08
crane100_0	2	1	1519569.00	0.72
crane100_0	2	2	1519569.00	0.72
crane100_0	2	3	1526966.00	0.72
crane100_0	2	4	1519569.00	0.72
crane100_0	2	5	1519569.00	0.72
crane100_0	2	6	1519569.00	0.74
crane100_0	2	7	1519569.00	0.75
crane100_0	2	8	1519569.00	0.73
crane100_0	2	9	1519569.00	0.72
crane100_0	2	10	1526966.00	0.73
crane100_0	5	1	3321300.00	2.14
crane100_0	5	2	3318271.00	2.08
crane100_0	5	3	3280360.00	2.09
crane100_0	5	4	3280360.00	2.09
crane100_0	5	5	3280360.00	2.09
crane100_0	5	6	3280360.00	2.09
crane100_0	5	7	3318271.00	2.08
crane100_0	5	8	3318271.00	2.08
crane100_0	5	9	3280360.00	2.09
crane100_0	5	10	3280360.00	2.11
crane100_0	8	1	5437163.00	6.51
crane100_0	8	2	5437163.00	6.56
crane100_0	8	3	5387962.00	6.56
crane100_0	8	4	5437163.00	6.54
crane100_0	8	5	5431742.00	6.50
crane100_0	8	6	5388253.00	6.61
crane100_0	8	7	5470210.00	7.22
crane100_0	8	8	5397361.00	6.56
crane100_0	8	9	5437163.00	6.60
crane100_0	8	10	5437163.00	6.64
crane100_1	2	1	1029922.00	0.89
crane100_1	2	2	1029922.00	0.87
crane100_1	2	3	1029922.00	0.89
crane100_1	2	4	1029922.00	0.90
crane100_1	2	5	1029922.00	0.87
crane100_1	2	6	1029922.00	0.89
crane100_1	2	7	1029922.00	0.88
crane100_1	2	8	1029922.00	0.90
crane100_1	2	9	1029922.00	0.90
crane100_1	2	10	1029922.00	0.90
crane100_1	5	1	2896358.00	2.12
crane100_1	5	2	2827722.00	2.09
crane100_1	5	3	2896358.00	2.10
crane100_1	5	4	2827722.00	2.09
crane100_1	5	5	2827722.00	2.09
crane100_1	5	6	2827722.00	2.09
crane100_1	5	7	2896358.00	2.11
crane100_1	5	8	2896358.00	2.10
crane100_1	5	9	2896358.00	2.19
crane100_1	5	10	2881158.00	2.12
crane100_1	8	1	4828838.00	6.17
crane100_1	8	2	4828838.00	6.11
crane100_1	8	3	4828838.00	6.11
crane100_1	8	4	4828838.00	6.03
crane100_1	8	5	4828838.00	5.99
crane100_1	8	6	4828838.00	6.04
crane100_1	8	7	4828838.00	6.05
crane100_1	8	8	4828838.00	6.04
crane100_1	8	9	4858547.00	6.08
crane100_1	8	10	4828838.00	5.99
crane100_2	2	1	1349023.00	0.92
crane100_2	2	2	1349023.00	0.90
crane100_2	2	3	1349023.00	0.91
crane100_2	2	4	1349023.00	0.91
crane100_2	2	5	1349023.00	0.88
crane100_2	2	6	1349023.00	0.89
crane100_2	2	7	1349023.00	0.88
crane100_2	2	8	1349023.00	0.89
crane100_2	2	9	1349023.00	0.89
crane100_2	2	10	1349023.00	0.91
crane100_2	5	1	2961251.00	1.90
crane100_2	5	2	3007776.00	1.87
crane100_2	5	3	2961251.00	1.86
crane100_2	5	4	3007776.00	1.86
crane100_2	5	5	2994975.00	1.93
crane100_2	5	6	2961251.00	1.85
crane100_2	5	7	2961251.00	1.90
crane100_2	5	8	2961251.00	1.88
crane100_2	5	9	2961251.00	1.89
crane100_2	5	10	3007776.00	1.86
crane100_2	8	1	5321048.00	6.20
crane100_2	8	2	5321048.00	6.28
crane100_2	8	3	5339757.00	6.61
crane100_2	8	4	5339757.00	6.63
crane100_2	8	5	5257948.00	6.24
crane100_2	8	6	5277889.00	6.24
crane100_2	8	7	5321048.00	6.17
crane100_2	8	8	5339757.00	6.65
crane100_2	8	9	5321048.00	6.28
crane100_2	8	10	5339757.00	6.59
crane100_3	2	1	1524971.00	1.31
crane100_3	2	2	1524971.00	1.29
crane100_3	2	3	1576433.00	1.28
crane100_3	2	4	1524971.00	1.30
crane100_3	2	5	1524971.00	1.28
crane100_3	2	6	1585149.00	1.29
crane100_3	2	7	1524971.00	1.27
crane100_3	2	8	1524971.00	1.32
crane100_3	2	9	1524971.00	1.31
crane100_3	2	10	1524971.00	1.30
