grupo	instance	num_cities	g	gap_gurobi_percent	gap_UB_percent	mean_time	gurobi_time	faster_than_gurobi
Pequeno porte	ftv80	81	8	1.3808	1.3808	6.3420	4.3	False
Pequeno porte	ftv90	91	2	0.0000	0.0000	11.8520	4.5	False
Pequeno porte	ftv90	91	5	0.6198	0.6198	12.6660	4.8	False
Pequeno porte	ftv90	91	8	1.5152	1.5152	9.9820	4.6	False
Pequeno porte	kro124	100	2	1.2163	-0.9663	0.9460	21.7	True
Pequeno porte	kro124	100	5	4.2603	2.0707	1.3310	23.8	True
Pequeno porte	kro124	100	8	0.3315	-1.9057	4.0910	24.8	True
Pequeno porte	p43	43	2	0.0000	0.0000	1.2520	0.9	False
Pequeno porte	p43	43	5	0.0000	0.0000	1.0440	1.3	True
Pequeno porte	p43	43	8	0.0000	0.0000	0.5610	1.2	True
Grande porte	rbg323	323	2	9.3988	7.5770	2289.4890	30.2	False
Grande porte	rbg323	323	5	8.4674	6.6611	2342.2960	31.0	False
Grande porte	rbg323	323	8	6.1812	4.6745	1718.0380	47.2	False
Grande porte	rbg358	358	2	17.5279	17.1717	3812.1400	34.2	False
Grande porte	rbg358	358	5	16.1094	14.9448	3964.6767	31.5	False
Grande porte	rbg358	358	8	12.3607	12.0202	2914.9530	33.2	False
Grande porte	rbg403	403	2	2.2395	-0.0951	4909.7933	49.0	False
Grande porte	rbg403	403	5	2.0935	-0.2379	5218.4067	44.3	False
Grande porte	rbg403	403	8	1.2171	-0.6214	4263.9933	53.4	False
Grande porte	rbg443	443	2	2.4473	1.1245	7891.6833	74.0	False
Grande porte	rbg443	443	5	1.3502	0.0416	8227.0267	58.0	False
Grande porte	rbg443	443	8	1.1814	-0.1249	6842.8933	62.0	False
Pequeno porte	ry48p	48	2	0.0000	-0.0903	0.0890	4.9	True
Pequeno porte	ry48p	48	5	-0.8389	-1.1706	0.2170	2.2	True
Pequeno porte	ry48p	48	8	0.0000	-0.1056	0.4850	4.0	True
Pequeno porte	stilt100_0	100	2	0.0000	-0.4381	2.0030	158.8	True
Pequeno porte	stilt100_0	100	5	1.4991	0.4345	2.9050	161.5	True
Pequeno porte	stilt100_0	100	8	5.1774	3.3685	10.0700	139.0	True
Pequeno porte	stilt100_1	100	2	7.8075	6.7085	1.6760	484.0	True
Pequeno porte	stilt100_1	100	5	4.3307	3.3182	3.1360	92.4	True
Pequeno porte	stilt100_1	100	8	4.4553	2.7476	9.2540	92.3	True
Pequeno porte	stilt100_2	100	2	18.0869	16.8598	1.7390	139.6	True
Pequeno porte	stilt100_2	100	5	4.1955	2.6556	2.2210	69.2	True
Pequeno porte	stilt100_2	100	8	3.4650	1.8056	6.2740	15.6	True
Pequeno porte	stilt100_3	100	2	0.9861	-0.0336	2.9690	1272.4	True
Pequeno porte	stilt100_3	100	5	3.1446	1.8109	4.1100	428.2	True
Pequeno porte	stilt100_3	100	8	1.6665	0.3816	6.8750	82.4	True
Pequeno porte	stilt100_4	100	2	0.0000	-0.3488	1.9550	82.9	True
Pequeno porte	stilt100_4	100	5	1.2261	0.6224	3.1260	27.5	True
Pequeno porte	stilt100_4	100	8	1.9378	0.9885	8.3320	38.6	True
Pequeno porte	stilt100_5	100	2	0.0000	-0.6458	1.9230	78.1	True
Pequeno porte	stilt100_5	100	5	1.1601	-0.6562	3.0550	2011.5	True
Pequeno porte	stilt100_5	100	8	3.0869	1.1846	8.2880	28.9	True
Pequeno porte	stilt100_6	100	2	3.0676	1.9362	2.1570	508.8	True
Pequeno porte	stilt100_6	100	5	3.9068	2.6950	3.4610	32.1	True
Pequeno porte	stilt100_6	100	8	2.2971	1.0336	6.0480	29.6	True
Pequeno porte	stilt100_7	100	2	3.1371	2.8184	2.8480	3374.5	True
Pequeno porte	stilt100_7	100	5	3.4290	2.8940	3.6410	177.3	True
Pequeno porte	stilt100_7	100	8	4.4714	3.8277	11.7520	196.4	True
Pequeno porte	stilt100_8	100	2	0.0000	-0.4777	2.1290	1603.3	True
Pequeno porte	stilt100_8	100	5	0.4366	-0.4494	3.6480	45.1	True
Pequeno porte	stilt100_8	100	8	4.6107	3.4214	7.8230	27.4	True
Pequeno porte	stilt100_9	100	2	4.2237	3.2429	1.7170	78.4	True
Pequeno porte	stilt100_9	100	5	0.8793	-0.3465	2.7860	2435.6	True
Pequeno porte	stilt100_9	100	8	2.3847	0.7922	6.3310	37.7	True
Grande porte	stilt316_10	316	2	7.1416	5.1602	67.3240	3600.1	True
Grande porte	stilt316_10	316	5	13.4068	11.7255	201.2930	3600.2	True
Grande porte	stilt316_10	316	8	6.4908	0.6666	644.2170	3600.1	True
Grande porte	stilt316_11	316	2	24.1773	22.7534	56.8940	3600.1	True
Grande porte	stilt316_11	316	5	9.5876	-0.2030	158.0870	3600.1	True
Grande porte	stilt316_11	316	8	8.7374	-1.0604	587.4200	3600.1	True
Grande porte	stilt316_12	316	2	17.4490	15.2886	62.5070	3600.1	True
Grande porte	stilt316_12	316	5	15.1005	3.7017	188.0420	3600.8	True
Grande porte	stilt316_12	316	8	9.2602	1.6698	719.7350	3600.2	True
Grande porte	stilt316_13	316	2	3.2251	1.1095	51.0260	3600.1	True
Grande porte	stilt316_13	316	5	13.6976	4.3092	178.3210	3600.3	True
Grande porte	stilt316_13	316	8	7.0564	3.7788	680.5740	3600.1	True
Grande porte	stilt316_14	316	2	10.3975	7.1340	49.6550	3600.1	True
Grande porte	stilt316_14	316	5	8.2780	-9.1610	169.7420	3600.2	True
Grande porte	stilt316_14	316	8	10.0889	-2.3040	715.9620	3600.1	True
Grande porte	stilt316_15	316	2	16.9191	15.3922	52.8490	3600.1	True
Grande porte	stilt316_15	316	5	12.9807	4.1410	152.9690	2809.0	True
Grande porte	stilt316_15	316	8	0.4118	-8.5563	596.3040	3600.1	True
Grande porte	stilt316_16	316	2	13.6371	4.2324	54.8520	3600.1	True
Grande porte	stilt316_16	316	5	13.5393	-5.3064	198.3060	3601.0	True
Grande porte	stilt316_16	316	8	7.8375	3.8285	635.2300	3600.1	True
Grande porte	stilt316_17	316	2	6.7810	-1.4987	43.8600	3600.1	True
Grande porte	stilt316_17	316	5	13.9375	-7.6214	164.2430	3600.1	True
Grande porte	stilt316_17	316	8	9.2756	4.0227	564.6260	3600.3	True
Grande porte	stilt316_18	316	2	18.5194	3.3010	60.6500	3600.1	True
Grande porte	stilt316_18	316	5	15.6412	-1.0972	195.2860	3600.0	True
Grande porte	stilt316_18	316	8	4.8491	-2.7870	682.0710	3600.6	True
Grande porte	stilt316_19	316	2	24.7151	16.1813	63.6890	3600.3	True
Grande porte	stilt316_19	316	5	11.8236	6.5285	162.9350	3601.2	True
Grande porte	stilt316_19	316	8	8.3072	-3.5015	511.6420	3600.1	True
Médio porte	td100_1	101	2	2.7226	1.4692	0.7670	14.2	True
Médio porte	td100_1	101	5	1.2362	0.1622	1.1740	3.9	True
Médio porte	td100_1	101	8	1.8291	0.5440	4.7050	2.1	False
Grande porte	td316_10	317	2	2.8356	2.4121	19.2440	25.6	True
Grande porte	td316_10	317	5	3.5430	2.0907	72.2390	16.5	False
Grande porte	td316_10	317	8	3.2432	1.2081	279.4510	37.7	False
