instance     g  runs  mean_solution  std_solution  best_solution  mean_time  std_time  best_time  gurobi_solution  gurobi_time  gurobi_status  gap_gurobi_percent  faster_than_gurobi  UB          gap_UB_percent
crane100_5   2  10    1267277.00     0.00          1267277.00     1.2440     0.0143    1.2300     1211265.0        48.3         OPTIMAL        4.6243              True                1223983.0   3.5371
crane100_5   5  10    3014308.00     10007.55      3004814.00     2.7300     0.0216    2.6900     2756499.0        18.6         OPTIMAL        9.0083              True                2756499.0   9.0083
crane100_5   8  10    5569006.60     41888.79      5449789.00     8.7140     0.1019    8.4600     5157956.0        28.3         OPTIMAL        5.6579              True                5181831.0   5.1711
crane100_6   2  10    1026234.00     0.00          1026234.00     1.1300     0.0082    1.1200     1026234.0        33.3         OPTIMAL        0.0000              True                1026234.0   0.0000
crane100_6   5  10    2322559.10     3295.41       2321517.00     1.7790     0.0120    1.7600     2307968.0        19.5         OPTIMAL        0.5871              True                2318584.0   0.1265
crane100_6   8  10    4310924.00     30229.62      4279714.00     7.0520     0.0434    6.9900     4107742.0        10.7         OPTIMAL        4.1865              True                4138550.0   3.4110
crane100_7   2  10    1336728.00     0.00          1336728.00     1.1000     0.0200    1.0700     1240795.0        30.6         OPTIMAL        7.7316              True                1240795.0   7.7316
crane100_7   5  10    2750771.00     0.00          2750771.00     2.0380     0.0193    2.0100     2626015.0        13.8         OPTIMAL        4.7508              True                2626015.0   4.7508
crane100_7   8  10    4823103.60     78563.55      4774311.00     6.3610     0.0378    6.2800     4457398.0        10.4         OPTIMAL        7.1098              True                4492429.0   6.2746
crane100_8   2  10    1408022.00     0.00          1408022.00     1.1480     0.0063    1.1400     1408021.8        55.1         OPTIMAL        0.0000              True                1426185.0   -1.2735
crane100_8   5  10    3410129.90     20734.74      3403573.00     2.5590     0.0208    2.5200     3056879.0        19.3         OPTIMAL        11.3414             True                3100592.0   9.7717
crane100_8   8  10    5002975.10     54181.29      4913055.00     7.8740     0.0564    7.7700     4819808.0        9.5          OPTIMAL        1.9347              True                4891623.0   0.4381
crane100_9   2  10    1362170.60     27461.35      1331873.00     1.1650     0.0143    1.1500     1255841.0        280.2        OPTIMAL        6.0543              True                1268022.0   5.0355
crane100_9   5  10    3011112.10     20051.34      2959683.00     2.2830     0.0183    2.2500     2807391.0        223.8        OPTIMAL        5.4247              True                2853993.0   3.7032
crane100_9   8  10    4786827.50     52894.96      4699243.00     5.5960     0.0572    5.5100     4561415.0        54.4         OPTIMAL        3.0216              True                4646713.0   1.1305
crane316_10  2  10    1939133.50     20087.81      1912754.00     33.9680    0.1657    33.6400    1792393.0        1489.9       OPTIMAL        6.7151              True                1805731.0   5.9269
crane316_10  5  10    5140042.00     3188.10       5138062.00     117.7580   0.8348    116.2800   4423414.0        1423.1       OPTIMAL        16.1560             True                4912604.0   4.5894
crane316_10  8  10    8861960.60     151975.87     8622708.00     437.2740   7.9450    428.0700   7839559.0        1522.0       OPTIMAL        9.9897              True                8451199.0   2.0294
crane316_11  2  10    2257112.60     48133.78      2158468.00     29.2400    0.2484    28.9400    1806858.0        3600.2       TIME_LIMIT     19.4597             True                1818963.0   18.6648
crane316_11  5  10    5473798.80     75188.03      5364841.00     99.4520    0.6368    98.7200    4547174.0        1048.4       OPTIMAL        17.9819             True                4589917.0   16.8832
crane316_11  8  10    9024926.80     43502.99      8923644.00     420.6040   10.3074   413.5200   8003282.0        2163.5       OPTIMAL        11.4998             True                8082514.0   10.4068
crane316_12  2  10    2303228.80     21430.48      2293098.00     39.1060    0.1933    38.8800    1971472.0        3600.4       TIME_LIMIT     16.3140             True                1968055.0   16.5160
crane316_12  5  10    5103020.90     89196.07      5026487.00     110.4400   0.7537    109.3700   4501234.0        3607.5       TIME_LIMIT     11.6691             True                5016467.0   0.1997
crane316_12  8  10    8578878.70     27671.41      8554986.00     432.7270   6.1241    423.0900   7726334.0        2722.4       OPTIMAL        10.7250             True                8102996.0   5.5781
crane316_13  2  10    2051302.20     38633.56      1968133.00     37.1440    0.1554    36.8900    1724803.0        3600.2       TIME_LIMIT     14.1077             True                1826437.0   7.7581
crane316_13  5  10    4948380.60     16304.64      4917560.00     107.7480   0.5006    107.2300   4209269.0        1329.2       OPTIMAL        16.8269             True                4752664.0   3.4695
crane316_13  8  10    8536196.30     1637.11       8531537.00     426.9200   4.4118    423.2500   7440831.0        1313.4       OPTIMAL        14.6584             True                7546490.0   13.0530
crane316_14  2  10    1940931.50     6066.83       1935176.00     40.8470    0.1791    40.5700    1690461.0        3600.1       TIME_LIMIT     14.4762             True                1737346.0   11.3869
crane316_14  5  10    4685718.00     74124.15      4640497.00     114.7280   1.0142    112.9000   4298748.0        3600.1       TIME_LIMIT     7.9500              True                4301355.0   7.8845
crane316_14  8  10    8514549.20     47717.60      8454255.00     421.7290   19.6450   396.9600   7705981.0        3544.7       OPTIMAL        9.7103              True                8364969.0   1.0674
crane316_15  2  10    2207355.40     19735.20      2158462.00     32.9540    0.1646    32.7300    1859953.0        3604.5       TIME_LIMIT     16.0493             True                1986257.0   8.6698
crane316_15  5  10    5518155.70     38857.38      5444930.00     101.7030   0.3936    101.0600   4534538.0        3600.2       TIME_LIMIT     20.0768             True                4689805.0   16.1014
crane316_15  8  10    9125478.10     56104.16      9048395.00     502.8420   28.6502   468.0700   7881871.0        1634.3       OPTIMAL        14.8001             True                8009557.0   12.9700
crane316_16  2  10    2266383.40     32374.84      2243626.00     38.4660    0.4537    37.9100    1713861.9        3600.1       TIME_LIMIT     30.9105             True                1746193.0   28.4867
crane316_16  5  10    5437212.20     99580.95      5268755.00     123.7580   0.7626    122.3600   4645820.0        3600.3       TIME_LIMIT     13.4085             True                5155626.0   2.1943
crane316_16  8  10    8955176.60     96477.72      8772123.00     526.5110   6.3047    520.6300   8032853.0        3600.1       TIME_LIMIT     9.2031              True                8991853.0   -2.4437
crane316_17  2  10    2117154.50     21859.24      2096417.00     39.7530    0.1942    39.3900    1812199.0        3600.1       TIME_LIMIT     15.6836             True                1829052.0   14.6177
crane316_17  5  10    5455894.60     50415.72      5322257.00     104.9340   0.3344    104.4100   4642919.9        3177.8       OPTIMAL        14.6317             True                5449079.0   -2.3274
crane316_17  8  10    9573078.30     8371.50       9570431.00     458.5070   3.6188    450.1700   8412189.3        3600.1       TIME_LIMIT     13.7686             True                8863450.0   7.9764
crane316_18  2  10    2084168.40     36027.02      1981751.00     36.8310    0.2784    36.6100    1705860.0        3600.1       TIME_LIMIT     16.1731             True                1680097.0   17.9546
crane316_18  5  10    5175978.70     52507.43      5135354.00     108.6160   0.9149    107.2800   4241740.0        1465.2       OPTIMAL        21.0672             True                4276098.0   20.0944
crane316_18  8  10    9031498.60     24566.90      8962038.00     447.5370   7.6518    441.7500   7978220.0        3600.1       TIME_LIMIT     12.3313             True                8267273.0   8.4038
