instance	g	fo_construcao	fo_busca_local	fo_concorde	tempo_construcao	tempo_busca_local	tempo_concorde
dc126	2	6230.00	6204.00	6204.00	0.000020	0.026759	0.010499
dc134	2	5854.00	3743.00	3743.00	0.000024	0.880927	0.084453
dc134	5	4579.00	3743.00	3743.00	0.000115	0.654314	0.092291
dc188	2	8592.00	4562.00	4562.00	0.000040	4.283387	2.467922
dc188	5	6414.00	4562.00	4562.00	0.000378	3.672936	2.132144
ft53	2	3446.00	2990.00	2990.00	0.000015	0.010714	0.001354
ft53	5	3913.00	3667.00	3667.00	0.000020	0.007580	0.023078
ft70	2	9303.00	8161.00	8161.00	0.000008	0.005500	0.001359
ftv100	5	3843.00	1696.00	1696.00	0.000097	1.108094	0.085103
ftv100	8	3153.00	1794.00	1794.00	0.000061	1.046969	0.075846
ftv110	2	5530.00	1937.00	1937.00	0.000083	1.106803	0.203510
ftv110	5	4229.00	2004.00	2004.00	0.000151	1.227664	2.007185
ftv110	8	3210.00	2035.00	2035.00	0.000075	1.372344	0.260811
ftv120	2	6188.00	2097.00	2097.00	0.000027	1.842104	0.196550
ftv120	5	4758.00	2113.00	2113.00	0.000058	1.796092	3.128384
ftv120	8	3109.00	2153.00	2153.00	0.000091	1.120660	0.041753
ftv130	2	6968.00	2366.00	2366.00	0.000023	1.997659	0.461272
ftv130	8	3056.00	2343.00	2343.00	0.000104	1.854439	0.215843
ftv140	2	6682.00	2450.00	2450.00	0.000049	3.054088	0.568348
ftv140	5	5190.00	2387.00	2387.00	0.000277	3.219501	0.054252
ftv140	8	3304.00	2432.00	2432.00	0.000122	2.520581	2.109000
ftv150	2	7220.00	2785.00	2785.00	0.000059	4.323531	2.953022
ftv150	5	5825.00	2778.00	2778.00	0.000581	4.533126	0.777489
ftv150	8	4370.00	2820.00	2820.00	0.000128	4.546005	3.960898
ftv160	2	7451.00	2716.00	2716.00	0.000039	4.741886	0.051903
ftv160	5	6062.00	2783.00	2783.00	0.000086	6.148420	0.038595
ftv160	8	4135.00	2833.00	2833.00	0.000142	4.295262	0.118376
ftv170	5	6739.00	2965.00	2965.00	0.000099	8.322624	0.316557
ftv33	2	1924.00	1083.00	1083.00	0.000004	0.008824	0.022428
ftv33	5	1481.00	1083.00	1083.00	0.000013	0.009072	0.022950
ftv33	8	1358.00	1228.00	1228.00	0.000027	0.009466	0.008214
ftv35	2	1778.00	1166.00	1166.00	0.000006	0.011222	0.022896
ftv35	5	1447.00	1161.00	1161.00	0.000010	0.009720	0.022825
ftv35	8	1230.00	1189.00	1189.00	0.000023	0.005467	0.023052
ftv38	2	1980.00	1185.00	1185.00	0.000005	0.012453	0.022630
ftv38	5	1940.00	1185.00	1185.00	0.000009	0.015216	0.023171
ftv44	2	2259.00	1274.00	1274.00	0.000007	0.018257	0.023863
ftv44	5	1947.00	1274.00	1274.00	0.000011	0.028165	0.024459
ftv44	8	1504.00	1375.00	1375.00	0.000049	0.020795	0.526064
ftv47	2	2352.00	1425.00	1425.00	0.000005	0.021866	0.022971
ftv47	5	1878.00	1428.00	1428.00	0.000026	0.026138	0.022222
ftv47	8	1966.00	1485.00	1485.00	0.000053	0.036267	0.024826
ftv55	2	3006.00	1593.00	1593.00	0.000009	0.080047	0.030058
ftv55	5	2502.00	1584.00	1584.00	0.000033	0.103951	0.028506
ftv64	2	2972.00	1611.00	1611.00	0.000010	0.111868	0.025852
ftv64	8	2206.00	1775.00	1775.00	0.000049	0.086758	0.037918
