instance     g  runs  mean_solution  std_solution  best_solution  mean_time  std_time  best_time  gurobi_solution  gurobi_time  gurobi_status  gap_gurobi_percent  faster_than_gurobi  UB          gap_UB_percent
crane100_5   2  10    1323249.00     0.00          1323249.00     1.6330     0.0275    1.5900     1211265.0        48.3         OPTIMAL        9.2452              True                1223983.0   8.1101
crane100_5   5  10    3160022.40     3057.59       3157654.00     3.1580     0.0322    3.1000     2756499.0        18.6         OPTIMAL        14.5531             True                2756499.0   14.5531
crane100_5   8  10    5695727.60     63371.29      5575748.00     7.1450     0.0477    7.1000     5157956.0        28.3         OPTIMAL        8.1000              True                5181831.0   7.6019
crane100_6   2  10    1026234.00     0.00          1026234.00     1.3570     0.0200    1.3200     1026234.0        33.3         OPTIMAL        0.0000              True                1026234.0   0.0000
crane100_6   5  10    2501431.20     23484.96      2469226.00     2.6300     0.0262    2.6000     2307968.0        19.5         OPTIMAL        6.9870              True                2318584.0   6.4972
crane100_6   8  10    4481245.10     1730.08       4480698.00     6.0160     0.0536    5.9400     4107742.0        10.7         OPTIMAL        9.0793              True                4138550.0   8.2673
crane100_7   2  10    1364293.00     0.00          1364293.00     1.3740     0.0052    1.3700     1240795.0        30.6         OPTIMAL        9.9531              True                1240795.0   9.9531
crane100_7   5  10    2882800.60     4014.20       2871376.00     2.6480     0.0210    2.6100     2626015.0        13.8         OPTIMAL        9.3435              True                2626015.0   9.3435
crane100_7   8  10    4825650.00     0.00          4825650.00     5.6660     0.0306    5.6300     4457398.0        10.4         OPTIMAL        8.2616              True                4492429.0   7.4174
crane100_8   2  10    1557827.10     5960.58       1540863.00     1.3500     0.0163    1.3300     1408021.8        55.1         OPTIMAL        9.4346              True                1426185.0   8.0409
crane100_8   5  10    3188001.00     0.00          3188001.00     2.6450     0.0196    2.6200     3056879.0        19.3         OPTIMAL        4.2894              True                3100592.0   2.8191
crane100_8   8  10    5323668.70     52989.58      5247246.00     6.6230     0.0406    6.5800     4819808.0        9.5          OPTIMAL        8.8684              True                4891623.0   7.2700
crane100_9   2  10    1377457.00     0.00          1377457.00     1.4170     0.0067    1.4100     1255841.0        280.2        OPTIMAL        9.6840              True                1268022.0   8.6304
crane100_9   5  10    3034530.80     17668.89      3009722.00     2.4690     0.0129    2.4500     2807391.0        223.8        OPTIMAL        7.2071              True                2853993.0   5.4565
crane100_9   8  10    4749979.00     23703.06      4735258.00     5.5440     0.0184    5.5300     4561415.0        54.4         OPTIMAL        3.8112              True                4646713.0   1.9055
crane316_10  2  10    2053092.10     19713.75      2015021.00     38.8020    0.3287    38.3400    1792393.0        1489.9       OPTIMAL        12.4207             True                1805731.0   11.5903
crane316_10  5  10    5312123.20     57176.24      5192012.00     108.3890   0.7892    107.2100   4423414.0        1423.1       OPTIMAL        17.3757             True                4912604.0   5.6876
crane316_10  8  10    9194405.40     127536.26     8956115.00     397.6420   0.5904    396.5100   7839559.0        1522.0       OPTIMAL        14.2426             True                8451199.0   5.9745
crane316_11  2  10    2252050.40     21170.94      2238902.00     35.1390    0.3315    34.6100    1806858.0        3600.2       TIME_LIMIT     23.9113             True                1818963.0   23.0867
