instance	g	run	solution	time
code198	5	10	844.00	276.36
code198	8	1	1293.00	288.69
code198	8	2	1293.00	287.92
code198	8	3	1293.00	286.69
code198	8	4	1293.00	287.67
code198	8	5	1293.00	288.79
code198	8	6	1293.00	287.87
code198	8	7	1293.00	286.86
code198	8	8	1293.00	284.97
code198	8	9	1293.00	286.73
code198	8	10	1293.00	288.78
code253	2	1	6300.00	169.40
code253	2	2	6300.00	172.71
code253	2	3	6300.00	171.48
code253	2	4	6300.00	170.48
code253	2	5	6300.00	171.13
code253	2	6	6300.00	169.88
code253	2	7	6300.00	172.73
code253	2	8	6300.00	171.72
code253	2	9	6300.00	170.95
code253	2	10	6300.00	168.95
code253	5	1	12378.00	302.66
code253	5	2	12264.00	304.64
code253	5	3	12264.00	304.51
code253	5	4	12356.00	301.99
code253	5	5	12378.00	302.88
code253	5	6	12378.00	301.80
code253	5	7	12378.00	301.31
code253	5	8	12378.00	303.63
code253	5	9	12264.00	302.66
code253	5	10	12378.00	302.17
code253	8	1	35667.00	561.53
code253	8	2	33576.00	556.48
code253	8	3	34721.00	557.91
code253	8	4	33576.00	555.79
code253	8	5	34721.00	558.04
code253	8	6	34721.00	556.01
code253	8	7	34721.00	559.20
code253	8	8	34721.00	556.98
code253	8	9	34721.00	556.16
code253	8	10	34721.00	557.48
crane100_0	2	1	1527873.00	1.06
crane100_0	2	2	1527873.00	1.05
crane100_0	2	3	1527873.00	1.04
crane100_0	2	4	1527873.00	1.04
crane100_0	2	5	1527873.00	1.04
crane100_0	2	6	1527873.00	1.05
crane100_0	2	7	1527873.00	1.06
crane100_0	2	8	1527873.00	1.05
crane100_0	2	9	1527873.00	1.04
crane100_0	2	10	1527873.00	1.05
crane100_0	5	1	3459421.00	1.80
crane100_0	5	2	3521911.00	1.80
crane100_0	5	3	3465728.00	1.83
crane100_0	5	4	3459421.00	1.80
crane100_0	5	5	3459421.00	1.81
crane100_0	5	6	3465728.00	1.81
crane100_0	5	7	3459421.00	1.80
crane100_0	5	8	3459421.00	1.80
crane100_0	5	9	3465728.00	1.82
crane100_0	5	10	3459421.00	1.82
crane100_0	8	1	5465398.00	5.30
crane100_0	8	2	5465398.00	5.30
crane100_0	8	3	5465398.00	5.33
crane100_0	8	4	5465398.00	5.36
crane100_0	8	5	5465398.00	5.25
crane100_0	8	6	5488656.00	5.34
crane100_0	8	7	5466885.00	5.28
crane100_0	8	8	5488656.00	5.33
crane100_0	8	9	5465398.00	5.33
crane100_0	8	10	5465398.00	5.31
crane100_1	2	1	1029922.00	1.31
crane100_1	2	2	1142609.00	1.33
crane100_1	2	3	1142609.00	1.31
crane100_1	2	4	1029922.00	1.31
crane100_1	2	5	1142609.00	1.31
crane100_1	2	6	1142609.00	1.32
crane100_1	2	7	1142609.00	1.32
crane100_1	2	8	1142609.00	1.31
crane100_1	2	9	1142609.00	1.32
crane100_1	2	10	1142609.00	1.31
crane100_1	5	1	2819639.00	2.63
crane100_1	5	2	2774750.00	2.65
crane100_1	5	3	2823678.00	2.63
crane100_1	5	4	2774750.00	2.63
crane100_1	5	5	2763704.00	2.62
crane100_1	5	6	2763704.00	2.62
crane100_1	5	7	2763704.00	2.63
crane100_1	5	8	2774750.00	2.65
crane100_1	5	9	2774750.00	2.66
crane100_1	5	10	2763704.00	2.62
crane100_1	8	1	5011228.00	5.70
crane100_1	8	2	5011228.00	5.70
crane100_1	8	3	5011228.00	5.74
crane100_1	8	4	5011228.00	5.71
crane100_1	8	5	5011228.00	5.71
crane100_1	8	6	5011228.00	5.73
crane100_1	8	7	5011228.00	5.78
crane100_1	8	8	5011228.00	5.69
crane100_1	8	9	5011228.00	5.69
crane100_1	8	10	5011228.00	5.72
crane100_2	2	1	1375624.00	1.33
crane100_2	2	2	1318394.00	1.34
crane100_2	2	3	1374149.00	1.33
crane100_2	2	4	1375624.00	1.32
crane100_2	2	5	1375624.00	1.34
crane100_2	2	6	1375624.00	1.32
crane100_2	2	7	1374149.00	1.33
crane100_2	2	8	1374149.00	1.32
crane100_2	2	9	1358469.00	1.34
crane100_2	2	10	1358469.00	1.33
crane100_2	5	1	3188464.00	2.48
crane100_2	5	2	3135663.00	2.46
crane100_2	5	3	3188464.00	2.53
crane100_2	5	4	3188464.00	2.52
crane100_2	5	5	3135663.00	2.49
crane100_2	5	6	3188464.00	2.50
crane100_2	5	7	3188464.00	2.50
crane100_2	5	8	3116599.00	2.52
crane100_2	5	9	3188464.00	2.51
crane100_2	5	10	3188464.00	2.49
crane100_2	8	1	5337204.00	5.88
crane100_2	8	2	5337204.00	5.86
crane100_2	8	3	5441419.00	5.69
crane100_2	8	4	5337204.00	5.83
crane100_2	8	5	5356805.00	5.65
crane100_2	8	6	5337204.00	5.87
crane100_2	8	7	5443106.00	5.69
crane100_2	8	8	5443106.00	5.83
crane100_2	8	9	5337204.00	5.90
crane100_2	8	10	5495275.00	5.68
crane100_3	2	1	1564833.00	1.53
crane100_3	2	2	1564833.00	1.55
crane100_3	2	3	1564833.00	1.55
crane100_3	2	4	1564833.00	1.52
crane100_3	2	5	1564833.00	1.59
crane100_3	2	6	1564833.00	1.55
crane100_3	2	7	1564833.00	1.53
crane100_3	2	8	1564833.00	1.55
crane100_3	2	9	1564833.00	1.53
crane100_3	2	10	1564833.00	1.53
crane100_3	5	1	2849954.00	3.33
crane100_3	5	2	2849954.00	3.33
crane100_3	5	3	2849954.00	3.32
crane100_3	5	4	2849954.00	3.35
crane100_3	5	5	2897832.00	3.32
crane100_3	5	6	2849954.00	3.35
crane100_3	5	7	2849954.00	3.35
crane100_3	5	8	2889925.00	3.39
crane100_3	5	9	2849954.00	3.36
crane100_3	5	10	2849954.00	3.32
crane100_3	8	1	4992011.00	6.44
crane100_3	8	2	4943834.00	6.41
crane100_3	8	3	4956178.00	6.47
crane100_3	8	4	4898598.00	6.36
crane100_3	8	5	4977204.00	6.62
crane100_3	8	6	5009456.00	6.56
crane100_3	8	7	4956178.00	6.46
crane100_3	8	8	4956178.00	6.43
crane100_3	8	9	4911141.00	6.61
crane100_3	8	10	4992011.00	6.30
crane100_4	2	1	1185142.00	1.33
crane100_4	2	2	1185142.00	1.34
crane100_4	2	3	1185142.00	1.34
crane100_4	2	4	1185142.00	1.33
crane100_4	2	5	1185142.00	1.33
crane100_4	2	6	1185142.00	1.35
crane100_4	2	7	1185142.00	1.32
crane100_4	2	8	1185142.00	1.33
crane100_4	2	9	1185142.00	1.33
crane100_4	2	10	1185142.00	1.33
crane100_4	5	1	3169808.00	2.42
crane100_4	5	2	3071875.00	2.38
crane100_4	5	3	3078370.00	2.40
crane100_4	5	4	3099413.00	2.40
crane100_4	5	5	3105924.00	2.38
crane100_4	5	6	3176488.00	2.45
crane100_4	5	7	3099413.00	2.43
crane100_4	5	8	3169808.00	2.41
crane100_4	5	9	3099413.00	2.37
crane100_4	5	10	3099413.00	2.40
crane100_4	8	1	5374848.00	6.31
crane100_4	8	2	5365625.00	6.50
crane100_4	8	3	5365625.00	6.54
crane100_4	8	4	5365625.00	6.46
crane100_4	8	5	5331663.00	6.35
crane100_4	8	6	5374848.00	6.43
crane100_4	8	7	5374848.00	6.36
crane100_4	8	8	5374848.00	6.41
crane100_4	8	9	5374848.00	6.33
crane100_4	8	10	5374848.00	6.39
crane100_5	2	1	1323249.00	1.67
crane100_5	2	2	1323249.00	1.65
crane100_5	2	3	1323249.00	1.65
crane100_5	2	4	1323249.00	1.62
crane100_5	2	5	1323249.00	1.60
crane100_5	2	6	1323249.00	1.59
crane100_5	2	7	1323249.00	1.62
crane100_5	2	8	1323249.00	1.67
crane100_5	2	9	1323249.00	1.62
crane100_5	2	10	1323249.00	1.64
crane100_5	5	1	3157654.00	3.10
crane100_5	5	2	3157654.00	3.18
crane100_5	5	3	3163575.00	3.18
crane100_5	5	4	3163575.00	3.16
crane100_5	5	5	3157654.00	3.11
crane100_5	5	6	3163575.00	3.16
crane100_5	5	7	3157654.00	3.20
crane100_5	5	8	3163575.00	3.14
crane100_5	5	9	3157654.00	3.18
crane100_5	5	10	3157654.00	3.17
crane100_5	8	1	5575748.00	7.12
crane100_5	8	2	5727389.00	7.13
crane100_5	8	3	5727389.00	7.11
crane100_5	8	4	5727389.00	7.12
crane100_5	8	5	5714057.00	7.25
crane100_5	8	6	5727389.00	7.13
crane100_5	8	7	5727389.00	7.15
crane100_5	8	8	5575748.00	7.21
crane100_5	8	9	5727389.00	7.13
crane100_5	8	10	5727389.00	7.10
crane100_6	2	1	1026234.00	1.36
crane100_6	2	2	1026234.00	1.37
crane100_6	2	3	1026234.00	1.38
crane100_6	2	4	1026234.00	1.33
crane100_6	2	5	1026234.00	1.37
crane100_6	2	6	1026234.00	1.34
crane100_6	2	7	1026234.00	1.37
crane100_6	2	8	1026234.00	1.36
crane100_6	2	9	1026234.00	1.37
crane100_6	2	10	1026234.00	1.32
crane100_6	5	1	2469226.00	2.63
crane100_6	5	2	2469226.00	2.60
crane100_6	5	3	2520496.00	2.67
crane100_6	5	4	2469226.00	2.64
crane100_6	5	5	2506212.00	2.68
crane100_6	5	6	2520496.00	2.62
crane100_6	5	7	2497942.00	2.61
crane100_6	5	8	2520496.00	2.62
crane100_6	5	9	2520496.00	2.62
crane100_6	5	10	2520496.00	2.61
crane100_6	8	1	4486169.00	6.13
crane100_6	8	2	4480698.00	5.98
crane100_6	8	3	4480698.00	6.01
crane100_6	8	4	4480698.00	6.01
crane100_6	8	5	4480698.00	6.08
crane100_6	8	6	4480698.00	5.98
crane100_6	8	7	4480698.00	5.94
crane100_6	8	8	4480698.00	6.02
crane100_6	8	9	4480698.00	6.01
crane100_6	8	10	4480698.00	6.00
crane100_7	2	1	1364293.00	1.37
crane100_7	2	2	1364293.00	1.37
crane100_7	2	3	1364293.00	1.37
crane100_7	2	4	1364293.00	1.37
crane100_7	2	5	1364293.00	1.38
crane100_7	2	6	1364293.00	1.38
crane100_7	2	7	1364293.00	1.37
crane100_7	2	8	1364293.00	1.38
crane100_7	2	9	1364293.00	1.37
crane100_7	2	10	1364293.00	1.38
crane100_7	5	1	2884070.00	2.61
crane100_7	5	2	2884070.00	2.64
crane100_7	5	3	2884070.00	2.63
crane100_7	5	4	2884070.00	2.66
crane100_7	5	5	2884070.00	2.65
crane100_7	5	6	2884070.00	2.67
crane100_7	5	7	2884070.00	2.66
crane100_7	5	8	2884070.00	2.63
crane100_7	5	9	2884070.00	2.68
crane100_7	5	10	2871376.00	2.65
crane100_7	8	1	4825650.00	5.63
crane100_7	8	2	4825650.00	5.63
crane100_7	8	3	4825650.00	5.70
crane100_7	8	4	4825650.00	5.67
crane100_7	8	5	4825650.00	5.67
crane100_7	8	6	4825650.00	5.72
crane100_7	8	7	4825650.00	5.68
crane100_7	8	8	4825650.00	5.64
crane100_7	8	9	4825650.00	5.64
crane100_7	8	10	4825650.00	5.68
crane100_8	2	1	1559712.00	1.36
crane100_8	2	2	1540863.00	1.39
crane100_8	2	3	1559712.00	1.34
crane100_8	2	4	1559712.00	1.35
crane100_8	2	5	1559712.00	1.33
crane100_8	2	6	1559712.00	1.34
crane100_8	2	7	1559712.00	1.34
crane100_8	2	8	1559712.00	1.35
crane100_8	2	9	1559712.00	1.35
crane100_8	2	10	1559712.00	1.35
crane100_8	5	1	3188001.00	2.67
crane100_8	5	2	3188001.00	2.66
crane100_8	5	3	3188001.00	2.64
crane100_8	5	4	3188001.00	2.62
crane100_8	5	5	3188001.00	2.63
crane100_8	5	6	3188001.00	2.68
crane100_8	5	7	3188001.00	2.63
crane100_8	5	8	3188001.00	2.63
crane100_8	5	9	3188001.00	2.64
crane100_8	5	10	3188001.00	2.65
crane100_8	8	1	5247246.00	6.64
crane100_8	8	2	5358815.00	6.61
crane100_8	8	3	5358815.00	6.70
crane100_8	8	4	5342059.00	6.58
crane100_8	8	5	5358815.00	6.67
crane100_8	8	6	5247246.00	6.58
crane100_8	8	7	5247246.00	6.61
crane100_8	8	8	5358815.00	6.65
crane100_8	8	9	5358815.00	6.60
crane100_8	8	10	5358815.00	6.59
crane100_9	2	1	1377457.00	1.41
