grupo	instance	num_cities	g	gap_gurobi_percent	gap_UB_percent	mean_time	gurobi_time	faster_than_gurobi
Pequeno porte	ftv70	71	2	0.0000	0.0000	2.4320	2.6	True
Pequeno porte	ftv70	71	5	0.0000	-0.2391	3.0980	2.5	False
Pequeno porte	ftv70	71	8	2.1562	2.1562	3.9750	5.3	True
Pequeno porte	ftv80	81	2	10.6105	10.6105	4.5150	4.0	False
Pequeno porte	ftv80	81	5	3.1977	2.8986	5.4010	4.1	False
Pequeno porte	ftv80	81	8	5.8140	5.8140	8.3820	4.3	False
Pequeno porte	ftv90	91	2	2.6860	2.6860	12.3840	4.5	False
Pequeno porte	ftv90	91	5	2.6860	2.6860	11.1380	4.8	False
Pequeno porte	ftv90	91	8	5.5785	5.5785	11.6460	4.6	False
Pequeno porte	kro124	100	2	3.8569	1.6173	0.8760	21.7	True
Pequeno porte	kro124	100	5	8.3158	6.0409	2.2280	23.8	True
Pequeno porte	kro124	100	8	5.3483	2.9992	7.2150	24.8	True
Pequeno porte	p43	43	2	0.0000	0.0000	1.2380	0.9	False
Pequeno porte	p43	43	5	0.0000	0.0000	1.1040	1.3	True
Pequeno porte	p43	43	8	0.0000	0.0000	0.6930	1.2	True
Pequeno porte	ry48p	48	2	0.0000	-0.0903	0.2130	4.9	True
Pequeno porte	ry48p	48	5	-0.8389	-1.1706	0.2870	2.2	True
Pequeno porte	ry48p	48	8	0.0000	-0.1056	0.6790	4.0	True
Pequeno porte	stilt100_0	100	2	6.6251	6.1580	2.6670	158.8	True
Pequeno porte	stilt100_0	100	5	8.5219	7.3837	4.2500	161.5	True
Pequeno porte	stilt100_0	100	8	4.8202	3.0174	8.4050	139.0	True
Pequeno porte	stilt100_1	100	2	4.7211	3.6535	1.7700	484.0	True
Pequeno porte	stilt100_1	100	5	6.9487	5.9108	3.2370	92.4	True
Pequeno porte	stilt100_1	100	8	8.6407	6.8645	7.1520	92.3	True
Pequeno porte	stilt100_2	100	2	18.6101	17.3776	1.6390	139.6	True
Pequeno porte	stilt100_2	100	5	7.0597	5.4775	2.7440	69.2	True
Pequeno porte	stilt100_2	100	8	6.5893	4.8798	7.4050	15.6	True
Pequeno porte	stilt100_3	100	2	0.8059	-0.2119	2.6690	1272.4	True
Pequeno porte	stilt100_3	100	5	2.5796	1.2532	4.2740	428.2	True
Pequeno porte	stilt100_3	100	8	2.4716	1.1765	6.6860	82.4	True
Pequeno porte	stilt100_4	100	2	0.4627	0.1123	2.3590	82.9	True
Pequeno porte	stilt100_4	100	5	7.8025	7.1595	3.7120	27.5	True
Pequeno porte	stilt100_4	100	8	7.6420	6.6396	15.6890	38.6	True
Pequeno porte	stilt100_5	100	2	4.1397	3.4672	2.4560	78.1	True
Pequeno porte	stilt100_5	100	5	3.9069	2.0414	3.6210	2011.5	True
Pequeno porte	stilt100_5	100	8	5.9786	4.0229	9.0470	28.9	True
Pequeno porte	stilt100_6	100	2	3.4848	2.3488	2.1760	508.8	True
Pequeno porte	stilt100_6	100	5	7.4889	6.2353	3.7650	32.1	True
Pequeno porte	stilt100_6	100	8	3.5406	2.2618	6.4360	29.6	True
Pequeno porte	stilt100_7	100	2	4.6118	4.2885	2.2370	3374.5	True
Pequeno porte	stilt100_7	100	5	6.2100	5.6606	4.1800	177.3	True
Pequeno porte	stilt100_7	100	8	7.2158	6.5552	9.2370	196.4	True
Pequeno porte	stilt100_8	100	2	1.7450	1.2590	2.5390	1603.3	True
Pequeno porte	stilt100_8	100	5	3.7894	2.8738	4.5510	45.1	True
Pequeno porte	stilt100_8	100	8	5.4301	4.2315	9.1250	27.4	True
Pequeno porte	stilt100_9	100	2	4.2237	3.2429	2.0870	78.4	True
Pequeno porte	stilt100_9	100	5	3.9268	2.6641	3.6170	2435.6	True
Pequeno porte	stilt100_9	100	8	7.3165	5.6473	9.1020	37.7	True
