instance     g  solution    gap   time    status
crane316_10  8  7839559.0   0.00  818.9   OPTIMAL
crane316_11  2  1806857.9   0.02  3600.1  TIME_LIMIT
crane316_11  5  4547174.0   0.00  516.4   OPTIMAL
crane316_11  8  8003282.0   0.00  907.2   OPTIMAL
crane316_12  2  1953792.6   0.18  3600.1  TIME_LIMIT
crane316_12  5  4501234.0   0.01  3600.1  TIME_LIMIT
crane316_12  8  7726334.0   0.00  815.2   OPTIMAL
crane316_13  2  1724803.0   0.00  1532.8  OPTIMAL
crane316_13  5  4209269.0   0.00  732.2   OPTIMAL
crane316_13  8  7440831.0   0.00  662.9   OPTIMAL
crane316_14  2  1690461.0   0.00  3525.1  OPTIMAL
crane316_14  5  4244061.0   0.00  1658.1  OPTIMAL
crane316_14  8  7705981.0   0.00  1874.9  OPTIMAL
crane316_15  2  1850007.6   0.08  3600.1  TIME_LIMIT
crane316_15  5  4534538.0   0.00  2124.2  OPTIMAL
crane316_15  8  7881871.0   0.00  570.4   OPTIMAL
crane316_16  2  1713861.8   0.15  3600.1  TIME_LIMIT
crane316_16  5  4639094.0   0.15  3600.1  TIME_LIMIT
crane316_16  8  8072537.0   0.01  3600.1  TIME_LIMIT
crane316_17  2  1812199.0   0.03  3600.1  TIME_LIMIT
crane316_17  5  4642920.0   0.00  1336.6  OPTIMAL
crane316_17  8  8394332.0   0.00  2115.3  OPTIMAL
crane316_18  2  1671406.0   0.00  2324.5  OPTIMAL
crane316_18  5  4241740.0   0.00  312.8   OPTIMAL
crane316_18  8  7978220.0   0.00  2141.9  OPTIMAL
crane316_19  2  1567089.0   0.00  784.8   OPTIMAL
crane316_19  5  4272261.0   0.00  995.7   OPTIMAL
crane316_19  8  7944261.9   0.01  3600.1  TIME_LIMIT
crane66_0    2  1252494.0   0.00  29.2    OPTIMAL
crane66_0    5  2617682.0   0.00  6.2     OPTIMAL
crane66_0    8  4174127.0   0.00  4.5     OPTIMAL
crane66_1    2  961865.0    0.00  3.2     OPTIMAL
crane66_1    5  2277182.0   0.00  7.9     OPTIMAL
crane66_1    8  3979379.0   0.00  6.7     OPTIMAL
crane66_2    2  1182704.0   0.00  7.0     OPTIMAL
crane66_2    5  2565899.0   0.00  11.6    OPTIMAL
crane66_2    8  4124869.0   0.00  10.0    OPTIMAL
dc112        2  3993.0      0.00  1.8     OPTIMAL
dc112        5  4242.0      0.00  12.1    OPTIMAL
dc112        8  6501.0      0.00  39.4    OPTIMAL
dc126        2  6204.0      0.00  0.6     OPTIMAL
dc126        5  12595.0     0.00  22.4    OPTIMAL
dc126        8  50597.0     0.00  98.5    OPTIMAL
dc134        2  3743.0      0.00  8.9     OPTIMAL
dc134        5  3743.0      0.00  7.1     OPTIMAL
dc134        8  3807.0      0.00  14.1    OPTIMAL
dc176        2  5495.0      0.00  71.4    OPTIMAL
dc176        5  5495.0      0.00  45.3    OPTIMAL
dc176        8  5625.0      0.00  52.7    OPTIMAL
dc188        2  4562.0      0.00  24.7    OPTIMAL
dc188        5  4562.0      0.00  27.8    OPTIMAL
dc188        8  4608.0      0.00  26.0    OPTIMAL
ft53         2  2990.0      0.00  1.0     OPTIMAL
ft53         5  3667.0      0.00  1.7     OPTIMAL
ft53         8  4936.0      0.00  2.8     OPTIMAL
ft70         2  8161.0      0.00  2.0     OPTIMAL
ft70         5  15699.0     0.00  3.6     OPTIMAL
ft70         8  25195.0     0.00  4.0     OPTIMAL
ftv100       2  1669.0      0.00  5.5     OPTIMAL
ftv100       5  1669.0      0.00  6.1     OPTIMAL
ftv100       8  1669.0      0.00  5.9     OPTIMAL
ftv110       2  1892.0      0.00  10.8    OPTIMAL
ftv110       5  1892.0      0.00  9.1     OPTIMAL
ftv110       8  1892.0      0.00  10.2    OPTIMAL
ftv120       2  1950.0      0.00  6.8     OPTIMAL
ftv120       5  1950.0      0.00  6.5     OPTIMAL
ftv120       8  1950.0      0.00  6.9     OPTIMAL
ftv130       2  2160.0      0.00  8.9     OPTIMAL
ftv130       5  2160.0      0.00  10.9    OPTIMAL
ftv130       8  2160.0      0.00  8.9     OPTIMAL
ftv140       2  2255.0      0.00  12.3    OPTIMAL
ftv140       5  2255.0      0.00  11.8    OPTIMAL
ftv140       8  2255.0      0.00  11.8    OPTIMAL
ftv150       2  2543.0      0.00  15.6    OPTIMAL
ftv150       5  2543.0      0.00  19.5    OPTIMAL
ftv150       8  2543.0      0.00  15.7    OPTIMAL
ftv160       2  2528.0      0.00  11.9    OPTIMAL
ftv160       5  2528.0      0.00  17.4    OPTIMAL
ftv160       8  2528.0      0.00  17.6    OPTIMAL
ftv170       2  2660.0      0.00  19.2    OPTIMAL
ftv170       5  2660.0      0.00  23.1    OPTIMAL
ftv170       8  2660.0      0.00  22.0    OPTIMAL
ftv33        2  1083.0      0.00  0.1     OPTIMAL
ftv33        5  1083.0      0.00  0.1     OPTIMAL
ftv33        8  1148.0      0.00  0.2     OPTIMAL
ftv35        2  1161.0      0.00  0.2     OPTIMAL
ftv35        5  1161.0      0.00  0.2     OPTIMAL
ftv35        8  1189.0      0.00  0.3     OPTIMAL
ftv38        2  1185.0      0.00  0.3     OPTIMAL
ftv38        5  1185.0      0.00  0.3     OPTIMAL
ftv38        8  1219.0      0.00  0.4     OPTIMAL
ftv44        2  1269.0      0.00  0.5     OPTIMAL
ftv44        5  1269.0      0.00  0.4     OPTIMAL
ftv44        8  1312.0      0.00  0.8     OPTIMAL
ftv47        2  1410.0      0.00  0.6     OPTIMAL
ftv47        5  1410.0      0.00  0.5     OPTIMAL
ftv47        8  1449.0      0.00  0.9     OPTIMAL
ftv55        2  1553.0      0.00  1.2     OPTIMAL
ftv55        5  1553.0      0.00  1.1     OPTIMAL
ftv55        8  1553.0      0.00  1.0     OPTIMAL
ftv64        2  1545.0      0.00  1.0     OPTIMAL
ftv64        5  1545.0      0.00  1.0     OPTIMAL
ftv64        8  1548.0      0.00  1.7     OPTIMAL
