instance	g	run	solution	time	status
br17	8	2	39.00	0.24	OK
br17	8	3	39.00	0.23	OK
br17	8	4	39.00	0.24	OK
br17	8	5	39.00	0.23	OK
br17	8	6	39.00	0.23	OK
br17	8	7	39.00	0.23	OK
br17	8	8	39.00	0.23	OK
br17	8	9	39.00	0.24	OK
br17	8	10	39.00	0.23	OK
code198	2	1	844.00	1339.15	OK
code198	2	2	844.00	1228.65	OK
code198	2	3	844.00	1225.62	OK
code198	2	4	844.00	1229.63	OK
code198	2	5	844.00	1228.71	OK
code198	2	6	844.00	1227.33	OK
code198	2	7	844.00	1224.83	OK
code198	2	8	844.00	1226.64	OK
code198	2	9	844.00	1226.55	OK
code198	2	10	844.00	1223.11	OK
code198	5	1	1635.00	1359.15	OK
code198	5	2	1635.00	1324.66	OK
code198	5	3	1635.00	1292.97	OK
code198	5	4	1635.00	1301.43	OK
code198	5	5	1635.00	1314.78	OK
code198	5	6	1635.00	1311.82	OK
code198	5	7	1635.00	1286.38	OK
code198	5	8	1635.00	1318.38	OK
code198	5	9	1635.00	1342.05	OK
code198	5	10	1635.00	1350.22	OK
code198	8	1	1634.00	955.25	OK
code198	8	2	1634.00	879.01	OK
code198	8	3	1634.00	880.05	OK
code198	8	4	1634.00	880.30	OK
code198	8	5	1634.00	882.22	OK
code198	8	6	1634.00	880.02	OK
code198	8	7	1634.00	879.85	OK
code198	8	8	1634.00	880.48	OK
code198	8	9	1634.00	881.43	OK
code198	8	10	1634.00	879.16	OK
code253	2	1	16522.00	644.48	OK
code253	2	2	16522.00	635.13	OK
code253	2	3	16522.00	631.68	OK
code253	2	4	16522.00	632.52	OK
code253	2	5	16522.00	633.88	OK
code253	2	6	16522.00	637.28	OK
code253	2	7	16522.00	655.52	OK
code253	2	8	16522.00	635.62	OK
code253	2	9	16522.00	662.37	OK
code253	2	10	16522.00	704.93	OK
code253	5	1	32857.00	1674.74	OK
code253	5	2	32857.00	1675.50	OK
code253	5	3	32857.00	1673.19	OK
code253	5	4	32857.00	1675.80	OK
code253	5	5	32857.00	1676.62	OK
code253	5	6	32857.00	1675.23	OK
code253	5	7	32857.00	1678.76	OK
code253	5	8	32857.00	1684.27	OK
code253	5	9	32857.00	1676.94	OK
code253	5	10	32857.00	1678.15	OK
code253	8	1	55802.00	2181.04	OK
code253	8	2	55802.00	2186.36	OK
code253	8	3	55802.00	2200.47	OK
code253	8	4	55802.00	2180.55	OK
code253	8	5	55802.00	2173.45	OK
code253	8	6	55802.00	2173.19	OK
code253	8	7	55802.00	2169.89	OK
code253	8	8	55802.00	2177.64	OK
code253	8	9	55802.00	2170.14	OK
code253	8	10	55802.00	2167.40	OK
crane100_0	2	1	1549950.00	4.27	OK
crane100_0	2	2	1549950.00	4.84	OK
crane100_0	2	3	1549950.00	4.60	OK
crane100_0	2	4	1549950.00	4.57	OK
