model;accuracy;balanced_accuracy;precision;recall;f1_score;roc_auc;tn;fp;fn;tp
hist_gradient_boosting;0.8283023424293648;0.8290452642740874;0.8580689974531142;0.8208194905869325;0.8390310165270546;0.9095337754192805;3154;613;809;3706
xgboost;0.8257667230137647;0.8261039728057464;0.852779053743684;0.8223698781838317;0.8372984552937197;0.906687145258953;3126;641;802;3713
gradient_boosting;0.8152620140062786;0.8150840736464977;0.8397450489414978;0.8170542635658915;0.8282442748091603;0.8965343378015235;3063;704;826;3689
bagging;0.8071721806326975;0.8067188068206705;0.8306890299184043;0.8117386489479512;0.8211045143945335;0.892044981172101;3020;747;850;3665
random_forest;0.805964742815745;0.8060731696633439;0.8334862385321101;0.8048726467331119;0.8189295774647888;0.8889847163144649;3041;726;881;3634
extra_trees;0.7710697899058199;0.7683734218093186;0.7853562867727174;0.7982281284606866;0.7917398945518453;0.8456188424215539;2782;985;911;3604
adaboost;0.7674474764549626;0.7678878269379625;0.800976517089049;0.7630121816168328;0.7815335753176044;0.8382059800664451;2911;856;1070;3445
logistic_regression;0.6807534411977784;0.6839991521639369;0.7349912082391359;0.648062015503876;0.6887947269303202;0.7794707256965177;2712;1055;1589;2926
decision_tree;0.7697416083071722;0.7676390323262487;0.7876047640052933;0.7909191583610188;0.7892584816001769;0.7676390323262486;2804;963;944;3571
