number;value;datetime_start;datetime_complete;duration;params_l2_regularization;params_learning_rate;params_max_iter;params_max_leaf_nodes;params_min_samples_leaf;state
35;0.9129168205654732;2026-06-20 09:18:12.079546;2026-06-20 09:18:15.191401;0 days 00:00:03.111855;0.00022188364925951004;0.10890685333985993;545;23;79;COMPLETE
36;0.9140719946591431;2026-06-20 09:18:15.191701;2026-06-20 09:18:18.857308;0 days 00:00:03.665607;0.8019321946561866;0.08248880062377399;362;62;54;COMPLETE
37;0.914153119867624;2026-06-20 09:18:18.857572;2026-06-20 09:18:23.498544;0 days 00:00:04.640972;3.626067268231685e-05;0.06158155478868784;742;50;68;COMPLETE
38;0.9108701512731449;2026-06-20 09:18:23.498833;2026-06-20 09:18:28.441121;0 days 00:00:04.942288;4.496485120511895e-06;0.04688170511080387;603;72;99;COMPLETE
39;0.9136372871043731;2026-06-20 09:18:28.441413;2026-06-20 09:18:30.514807;0 days 00:00:02.073394;0.004930190542243934;0.1592959926887821;490;36;90;COMPLETE
40;0.9139135973302721;2026-06-20 09:18:30.515092;2026-06-20 09:18:34.305372;0 days 00:00:03.790280;0.02284409166253449;0.06726248149955176;672;98;40;COMPLETE
41;0.9146760702078097;2026-06-20 09:18:34.305754;2026-06-20 09:18:36.339986;0 days 00:00:02.034232;7.131923577870855e-06;0.13707307720698264;735;35;72;COMPLETE
42;0.9138530608669815;2026-06-20 09:18:36.340230;2026-06-20 09:18:38.050169;0 days 00:00:01.709939;5.645638086385971e-05;0.19555103448700967;791;40;84;COMPLETE
43;0.9153003176470911;2026-06-20 09:18:38.050441;2026-06-20 09:18:40.715717;0 days 00:00:02.665276;1.1503727454056816e-08;0.11397051655511041;763;27;62;COMPLETE
44;0.9142731748637329;2026-06-20 09:18:40.716010;2026-06-20 09:18:42.815788;0 days 00:00:02.099778;0.0012778969633797069;0.1181674542744904;760;26;62;COMPLETE
45;0.9130876554468603;2026-06-20 09:18:42.816073;2026-06-20 09:18:44.968155;0 days 00:00:02.152082;9.977975005739485e-08;0.09773832215629166;615;20;54;COMPLETE
46;0.9142266798702702;2026-06-20 09:18:44.968470;2026-06-20 09:18:47.197268;0 days 00:00:02.228798;2.519272162720419e-08;0.08474410059830388;269;42;44;COMPLETE
47;0.9111346428965039;2026-06-20 09:18:47.197584;2026-06-20 09:18:51.672976;0 days 00:00:04.475392;1.4742779095689478e-08;0.049269219923946415;686;127;58;COMPLETE
48;0.9136235881716308;2026-06-20 09:18:51.673243;2026-06-20 09:18:53.991331;0 days 00:00:02.318088;0.08173657541640834;0.11175793879734461;760;28;69;COMPLETE
49;0.9162036930301012;2026-06-20 09:18:53.991588;2026-06-20 09:18:56.037697;0 days 00:00:02.046109;0.010327760959423294;0.1651918112106995;641;19;51;COMPLETE
50;0.9142913352636433;2026-06-20 09:18:56.038033;2026-06-20 09:18:57.291816;0 days 00:00:01.253783;0.01136392832505379;0.16671436772749104;214;19;25;COMPLETE
51;0.9161141106879409;2026-06-20 09:18:57.292220;2026-06-20 09:18:58.759872;0 days 00:00:01.467652;0.0003188935541266067;0.19816577854037398;631;33;50;COMPLETE
52;0.9140881066356183;2026-06-20 09:18:58.760167;2026-06-20 09:19:00.184974;0 days 00:00:01.424807;0.003908276151068741;0.1963749042224674;582;15;51;COMPLETE
53;0.9148955604241037;2026-06-20 09:19:00.185281;2026-06-20 09:19:02.011203;0 days 00:00:01.825922;0.00033394338128428893;0.1589644201724011;636;33;48;COMPLETE
54;0.9151014381037236;2026-06-20 09:19:02.011484;2026-06-20 09:19:03.727323;0 days 00:00:01.715839;8.012112844416627e-05;0.1820479920369642;723;21;56;COMPLETE
55;0.9158552951985385;2026-06-20 09:19:03.727667;2026-06-20 09:19:06.157701;0 days 00:00:02.430034;1.5123257928132515e-05;0.13094486771232383;680;27;61;COMPLETE
56;0.913344950120108;2026-06-20 09:19:06.158020;2026-06-20 09:19:08.509325;0 days 00:00:02.351305;0.01349721373217538;0.09415000342719423;677;30;61;COMPLETE
57;0.9168986562828427;2026-06-20 09:19:08.509680;2026-06-20 09:19:10.075902;0 days 00:00:01.566222;2.309035626906218e-06;0.12894976127671706;774;39;10;COMPLETE
58;0.9152274209692278;2026-06-20 09:19:10.076192;2026-06-20 09:19:11.744634;0 days 00:00:01.668442;1.7914110900819562e-05;0.12942077788688514;715;39;28;COMPLETE
59;0.9171577362012631;2026-06-20 09:19:11.744915;2026-06-20 09:19:13.216515;0 days 00:00:01.471600;1.6076024503850509e-06;0.1526057552928787;645;43;16;COMPLETE
60;0.9178811789346032;2026-06-20 09:19:13.216830;2026-06-20 09:19:14.965541;0 days 00:00:01.748711;1.2718334339071595e-06;0.1489650192271257;608;56;10;COMPLETE
61;0.9180145617353013;2026-06-20 09:19:14.965929;2026-06-20 09:19:16.725008;0 days 00:00:01.759079;2.423692676655088e-06;0.15167729460312884;644;54;14;COMPLETE
62;0.9175917348997444;2026-06-20 09:19:16.725331;2026-06-20 09:19:18.419867;0 days 00:00:01.694536;1.4714186078062424e-06;0.15183141025461142;640;58;12;COMPLETE
63;0.9171084446348979;2026-06-20 09:19:18.420156;2026-06-20 09:19:19.838149;0 days 00:00:01.417993;1.7035470498790804e-06;0.15298558778147758;645;55;11;COMPLETE
64;0.9176476919908894;2026-06-20 09:19:19.838440;2026-06-20 09:19:21.699913;0 days 00:00:01.861473;1.743694976991492e-06;0.1513765922918414;533;57;10;COMPLETE
65;0.9169673175696096;2026-06-20 09:19:21.700190;2026-06-20 09:19:23.132437;0 days 00:00:01.432247;1.0433116565299144e-06;0.14893389356109507;528;57;10;COMPLETE
66;0.9165913154535847;2026-06-20 09:19:23.132719;2026-06-20 09:19:24.468324;0 days 00:00:01.335605;6.925092993106139e-07;0.15013524653867838;529;58;18;COMPLETE
67;0.916851945364809;2026-06-20 09:19:24.468593;2026-06-20 09:19:25.861096;0 days 00:00:01.392503;2.5540870398516823e-07;0.15151338780312823;461;66;12;COMPLETE
68;0.9169625560090946;2026-06-20 09:19:25.861358;2026-06-20 09:19:27.239921;0 days 00:00:01.378563;3.140554516383168e-07;0.17219782490757818;558;55;18;COMPLETE
69;0.9170175865183943;2026-06-20 09:19:27.240252;2026-06-20 09:19:28.831886;0 days 00:00:01.591634;1.7749486649609916e-06;0.143324112831055;583;70;15;COMPLETE
70;0.917491401003147;2026-06-20 09:19:28.832168;2026-06-20 09:19:30.322594;0 days 00:00:01.490426;3.3139483147389662e-06;0.1834849378077971;593;70;17;COMPLETE
71;0.9170611084405339;2026-06-20 09:19:30.322877;2026-06-20 09:19:31.729442;0 days 00:00:01.406565;2.880890064118984e-06;0.17534662968320308;586;70;16;COMPLETE
72;0.9160486981435341;2026-06-20 09:19:31.729778;2026-06-20 09:19:32.959141;0 days 00:00:01.229363;1.0124082520067948e-07;0.1721998863349727;600;64;21;COMPLETE
73;0.9158067667298372;2026-06-20 09:19:32.959382;2026-06-20 09:19:34.200439;0 days 00:00:01.241057;4.126560277194366e-06;0.18344455274379667;613;85;15;COMPLETE
74;0.9163600635084201;2026-06-20 09:19:34.200729;2026-06-20 09:19:36.002322;0 days 00:00:01.801593;2.993445722271699e-06;0.13569608508573683;585;51;19;COMPLETE
75;0.9168891509019552;2026-06-20 09:19:36.002635;2026-06-20 09:19:37.358735;0 days 00:00:01.356100;6.937713536003829e-07;0.15576976889398533;548;74;13;COMPLETE
76;0.9160540763184077;2026-06-20 09:19:37.359039;2026-06-20 09:19:39.226955;0 days 00:00:01.867916;7.854567522872057e-06;0.10490834460934576;571;61;24;COMPLETE
77;0.9181465082999225;2026-06-20 09:19:39.227292;2026-06-20 09:19:40.716716;0 days 00:00:01.489424;1.224847724976553e-06;0.1810713978148961;479;68;15;COMPLETE
78;0.9146584671142998;2026-06-20 09:19:40.717001;2026-06-20 09:19:42.388194;0 days 00:00:01.671193;1.143167271009452e-06;0.12204755328831135;431;80;21;COMPLETE
79;0.9169629541270383;2026-06-20 09:19:42.388446;2026-06-20 09:19:43.592943;0 days 00:00:01.204497;4.3429618487439216e-07;0.18352480244543914;385;65;12;COMPLETE
80;0.9159963888883709;2026-06-20 09:19:43.593266;2026-06-20 09:19:45.245463;0 days 00:00:01.652197;1.1045944970961054e-07;0.1396309066787913;483;53;28;COMPLETE
81;0.9160713576041786;2026-06-20 09:19:45.245792;2026-06-20 09:19:46.683578;0 days 00:00:01.437786;1.1905685810670066e-05;0.17693161075193636;655;86;16;COMPLETE
82;0.9165386410451216;2026-06-20 09:19:46.683862;2026-06-20 09:19:48.085790;0 days 00:00:01.401928;3.6629430435519784e-06;0.1648147275843415;526;68;14;COMPLETE
83;0.9164057573867066;2026-06-20 09:19:48.086097;2026-06-20 09:19:49.589065;0 days 00:00:01.502968;1.8406928853611293e-06;0.15480872430765943;502;63;17;COMPLETE
84;0.9184680252558977;2026-06-20 09:19:49.589356;2026-06-20 09:19:50.980774;0 days 00:00:01.391418;1.7631713913534216e-07;0.18202070404826554;616;59;10;COMPLETE
85;0.917014949128337;2026-06-20 09:19:50.981062;2026-06-20 09:19:52.174077;0 days 00:00:01.193015;5.443543275075105e-08;0.19652460727730858;622;59;10;COMPLETE
