instance	g	runs	mean_solution	std_solution	best_solution	mean_time	std_time	best_time	gurobi_solution	gurobi_time	gurobi_status	gap_gurobi_percent	faster_than_gurobi	UB	gap_UB_percent
crane100_5	2	10	1284549.80	4897.47	1275669.00	1.2150	0.0108	1.2000	1211265.0	48.3	OPTIMAL	5.3171	True	1223983.0	4.2228
crane100_5	5	10	3051330.20	9280.65	3046928.00	2.6620	0.0983	2.6000	2756499.0	18.6	OPTIMAL	10.5362	True	2756499.0	10.5362
crane100_5	8	10	5449506.30	119055.56	5254170.00	8.0930	0.2912	7.8400	5157956.0	28.3	OPTIMAL	1.8654	True	5181831.0	1.3960
crane100_6	2	10	1026234.00	0.00	1026234.00	1.1130	0.0164	1.0900	1026234.0	33.3	OPTIMAL	0.0000	True	1026234.0	0.0000
crane100_6	5	10	2341121.00	5272.58	2331938.00	1.7730	0.0236	1.7300	2307968.0	19.5	OPTIMAL	1.0386	True	2318584.0	0.5760
crane100_6	8	10	4280187.40	32101.35	4255520.00	6.2040	0.0810	6.1300	4107742.0	10.7	OPTIMAL	3.5975	True	4138550.0	2.8264
crane100_7	2	10	1336728.00	0.00	1336728.00	1.1200	0.0125	1.1000	1240795.0	30.6	OPTIMAL	7.7316	True	1240795.0	7.7316
crane100_7	5	10	2754822.80	509.68	2754428.00	1.8800	0.0156	1.8600	2626015.0	13.8	OPTIMAL	4.8900	True	2626015.0	4.8900
crane100_7	8	10	4715885.60	88349.49	4588833.00	6.1000	0.0693	5.9800	4457398.0	10.4	OPTIMAL	2.9487	True	4492429.0	2.1459
crane100_8	2	10	1442946.00	0.00	1442946.00	0.9470	0.0095	0.9300	1408021.8	55.1	OPTIMAL	2.4804	True	1426185.0	1.1752
crane100_8	5	10	3433661.00	0.00	3433661.00	2.4360	0.0313	2.3900	3056879.0	19.3	OPTIMAL	12.3257	True	3100592.0	10.7421
crane100_8	8	10	5150974.60	63453.00	5030581.00	7.1670	0.0863	7.0600	4819808.0	9.5	OPTIMAL	4.3731	True	4891623.0	2.8407
crane100_9	2	10	1331873.00	0.00	1331873.00	0.9640	0.0097	0.9500	1255841.0	280.2	OPTIMAL	6.0543	True	1268022.0	5.0355
crane100_9	5	10	2945061.90	18568.58	2939190.00	1.9070	0.0142	1.8900	2807391.0	223.8	OPTIMAL	4.6947	True	2853993.0	2.9852
crane100_9	8	10	4703389.00	0.00	4703389.00	5.3660	0.0280	5.3300	4561415.0	54.4	OPTIMAL	3.1125	True	4646713.0	1.2197
crane316_10	2	10	1942283.40	9132.85	1928193.00	33.0440	0.3545	32.4300	1792393.0	1489.9	OPTIMAL	7.5765	True	1805731.0	6.7819
crane316_10	5	10	5192424.00	38287.80	5156101.00	107.3980	1.4012	105.1700	4423414.0	1423.1	OPTIMAL	16.5638	True	4912604.0	4.9566
crane316_10	8	10	8949399.60	67228.63	8817360.00	455.8700	21.6500	429.2800	7839559.0	1522.0	OPTIMAL	12.4727	True	8451199.0	4.3327
crane316_11	2	10	2142138.60	38781.33	2123743.00	30.7420	0.3408	30.1500	1806858.0	3600.2	TIME_LIMIT	17.5379	True	1818963.0	16.7557
crane316_11	5	10	5451462.80	25634.59	5435303.00	91.6240	0.7101	90.5900	4547174.0	1048.4	OPTIMAL	19.5314	True	4589917.0	18.4183
crane316_11	8	10	8930963.00	60920.23	8873169.00	427.0770	7.8341	419.3200	8003282.0	2163.5	OPTIMAL	10.8691	True	8082514.0	9.7823
