instance	g	run	solution	time
code198	5	10	842.00	256.89
code198	8	1	842.00	162.55
code198	8	2	842.00	161.57
code198	8	3	842.00	167.39
code198	8	4	842.00	163.53
code198	8	5	842.00	163.12
code198	8	6	842.00	167.91
code198	8	7	842.00	160.99
code198	8	8	842.00	168.30
code198	8	9	842.00	162.18
code198	8	10	842.00	163.56
code253	2	1	6263.00	114.08
code253	2	2	6263.00	114.77
code253	2	3	6263.00	113.70
code253	2	4	6263.00	113.88
code253	2	5	6263.00	114.38
code253	2	6	6263.00	114.11
code253	2	7	6263.00	113.88
code253	2	8	6263.00	114.65
code253	2	9	6263.00	113.98
code253	2	10	6263.00	113.94
code253	5	1	6263.00	36.62
code253	5	2	6263.00	36.19
code253	5	3	6263.00	35.65
code253	5	4	6263.00	36.31
code253	5	5	6263.00	36.29
code253	5	6	6263.00	36.03
code253	5	7	6263.00	36.10
code253	5	8	6263.00	36.04
code253	5	9	6263.00	36.01
code253	5	10	6263.00	36.03
code253	8	1	26074.00	246.14
code253	8	2	26074.00	243.31
code253	8	3	26074.00	245.02
code253	8	4	26074.00	244.77
code253	8	5	26074.00	247.77
code253	8	6	26074.00	245.89
code253	8	7	26074.00	246.01
code253	8	8	26074.00	243.39
code253	8	9	26074.00	248.65
code253	8	10	26074.00	245.67
crane100_0	2	1	1519569.00	0.81
crane100_0	2	2	1519569.00	0.80
crane100_0	2	3	1519569.00	0.80
crane100_0	2	4	1519569.00	0.81
crane100_0	2	5	1519569.00	0.80
crane100_0	2	6	1519569.00	0.81
crane100_0	2	7	1519569.00	0.82
crane100_0	2	8	1519569.00	0.80
crane100_0	2	9	1519569.00	0.80
crane100_0	2	10	1519569.00	0.81
crane100_0	5	1	3302304.00	2.00
crane100_0	5	2	3302304.00	2.02
crane100_0	5	3	3319206.00	2.01
crane100_0	5	4	3304315.00	2.01
crane100_0	5	5	3302304.00	2.03
crane100_0	5	6	3319206.00	2.01
crane100_0	5	7	3304315.00	1.98
crane100_0	5	8	3319206.00	1.99
crane100_0	5	9	3302304.00	2.01
crane100_0	5	10	3319206.00	1.99
crane100_0	8	1	5384005.00	5.17
crane100_0	8	2	5393904.00	5.48
crane100_0	8	3	5384005.00	5.18
crane100_0	8	4	5378368.00	5.00
crane100_0	8	5	5369532.00	5.21
crane100_0	8	6	5369532.00	5.24
crane100_0	8	7	5391097.00	5.20
crane100_0	8	8	5369532.00	5.16
crane100_0	8	9	5369532.00	5.18
crane100_0	8	10	5369532.00	5.16
crane100_1	2	1	1029922.00	1.12
crane100_1	2	2	1029922.00	1.12
crane100_1	2	3	1029922.00	1.10
crane100_1	2	4	1029922.00	1.13
crane100_1	2	5	1029922.00	1.10
crane100_1	2	6	1029922.00	1.13
crane100_1	2	7	1029922.00	1.10
crane100_1	2	8	1029922.00	1.13
crane100_1	2	9	1029922.00	1.11
crane100_1	2	10	1029922.00	1.13
crane100_1	5	1	2797071.00	1.71
crane100_1	5	2	2806178.00	1.78
crane100_1	5	3	2816284.00	1.74
crane100_1	5	4	2806178.00	1.77
crane100_1	5	5	2797071.00	1.72
crane100_1	5	6	2797071.00	1.72
crane100_1	5	7	2797071.00	1.73
crane100_1	5	8	2797071.00	1.73
crane100_1	5	9	2797071.00	1.72
crane100_1	5	10	2764724.00	1.74
crane100_1	8	1	4812503.00	5.49
crane100_1	8	2	4812503.00	5.60
crane100_1	8	3	4812503.00	5.52
crane100_1	8	4	4839557.00	5.65
crane100_1	8	5	4812503.00	5.59
crane100_1	8	6	4814961.00	5.58
crane100_1	8	7	4812503.00	5.54
crane100_1	8	8	4867623.00	5.64
crane100_1	8	9	4812503.00	5.52
crane100_1	8	10	4864705.00	5.67
crane100_2	2	1	1318394.00	0.86
crane100_2	2	2	1318394.00	0.87
crane100_2	2	3	1318394.00	0.87
crane100_2	2	4	1318394.00	0.87
crane100_2	2	5	1318394.00	0.84
crane100_2	2	6	1318394.00	0.87
crane100_2	2	7	1318394.00	0.84
crane100_2	2	8	1318394.00	0.87
crane100_2	2	9	1318394.00	0.86
crane100_2	2	10	1318394.00	0.87
crane100_2	5	1	2967927.00	1.65
crane100_2	5	2	2972046.00	1.65
crane100_2	5	3	2967927.00	1.65
crane100_2	5	4	2972046.00	1.66
crane100_2	5	5	2972046.00	1.65
crane100_2	5	6	2971785.00	1.64
crane100_2	5	7	2972046.00	1.64
crane100_2	5	8	2989667.00	1.65
crane100_2	5	9	2957331.00	1.66
crane100_2	5	10	2957331.00	1.66
crane100_2	8	1	5340205.00	6.02
crane100_2	8	2	5340205.00	5.97
crane100_2	8	3	5192614.00	5.88
crane100_2	8	4	5278907.00	5.89
crane100_2	8	5	5340205.00	6.00
crane100_2	8	6	5177422.00	5.94
crane100_2	8	7	5192614.00	5.85
crane100_2	8	8	5278907.00	5.86
crane100_2	8	9	5317456.00	5.78
crane100_2	8	10	5278907.00	5.82
crane100_3	2	1	1524971.00	1.26
crane100_3	2	2	1524971.00	1.24
crane100_3	2	3	1524971.00	1.27
crane100_3	2	4	1524971.00	1.26
crane100_3	2	5	1524971.00	1.25
crane100_3	2	6	1524971.00	1.28
crane100_3	2	7	1524971.00	1.27
crane100_3	2	8	1524971.00	1.26
crane100_3	2	9	1524971.00	1.26
crane100_3	2	10	1524971.00	1.28
crane100_3	5	1	2995562.00	2.79
crane100_3	5	2	2998466.00	2.75
crane100_3	5	3	2998466.00	2.77
crane100_3	5	4	3010187.00	2.79
crane100_3	5	5	2916423.00	2.81
crane100_3	5	6	2998466.00	2.79
crane100_3	5	7	2994353.00	2.79
crane100_3	5	8	2916423.00	2.76
crane100_3	5	9	3016595.00	2.78
crane100_3	5	10	2933003.00	2.78
crane100_3	8	1	4927487.00	6.14
crane100_3	8	2	4927487.00	6.05
crane100_3	8	3	4804082.00	5.98
crane100_3	8	4	4900517.00	6.07
crane100_3	8	5	4927487.00	6.08
crane100_3	8	6	4927487.00	6.11
crane100_3	8	7	4914956.00	5.95
crane100_3	8	8	4927487.00	6.08
crane100_3	8	9	4927487.00	6.10
crane100_3	8	10	4827929.00	5.99
crane100_4	2	1	1185142.00	0.82
crane100_4	2	2	1185142.00	0.83
crane100_4	2	3	1185142.00	0.84
crane100_4	2	4	1185142.00	0.84
